"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000224430|MKRN5P",25.7449897910905,-0.80383922114048,0.375516255333241,-2.1406242998113,0.0323043475785725,0.0901772058075301
"ENSG00000271533",360.002305127077,-0.104413795370507,0.252271683273194,-0.413894235039585,0.678951566069536,0.818284433573342
"ENSG00000265727|RN7SL648P",17.1326117059596,0.881236271883679,0.518338022247275,1.70011890708508,0.0891085615742709,0.201171812676279
"ENSG00000207820|MIR545",1.60188540363891,0.801983359461767,1.65306228189185,0.48515011699616,0.627569863647123,NA
"ENSG00000199168|MIR374A",1.47993950702544,0.539330925855361,1.46657868695526,0.36774769103938,0.713061376271827,NA
"ENSG00000131263|RLIM",7626.01568195741,-0.112765854412262,0.0442558758906556,-2.54804253995279,0.0108329260314234,0.0370779736073892
"ENSG00000131269|ABCB7",1193.86156244298,0.232848176672007,0.0923714016282531,2.52078210969559,0.0117094334179711,0.039469192345191
"ENSG00000094841|UPRT",600.082727329251,0.155719349503403,0.0944786440219852,1.64819627880314,0.0993124002071607,0.219085990853618
"ENSG00000102383|ZDHHC15",16.6707227201579,0.42985235238472,0.543572953784915,0.790790545025549,0.429066228242607,0.621102324150482
"ENSG00000215105|TTC3P1",234.404564571408,-0.0525612415632995,0.202698146063539,-0.259307954137989,0.795397642741869,0.890661152657394
"ENSG00000102390|PBDC1",360.128216543722,-0.0788952163271221,0.12422443912725,-0.635102214036204,0.525361753156438,0.705558173216701
"ENSG00000198934|MAGEE1",130.398060242248,0.177796094668905,0.250139049981994,0.710789037863956,0.477214974652119,0.664735537684914
"ENSG00000085224|ATRX",5579.28268468226,0.0849734061413119,0.0475408105531104,1.78737815263759,0.0738763902616111,0.174094876067866
"ENSG00000173198|CYSLTR1",9.01651818563645,0.518501260019817,0.780803252383972,0.664061347640027,0.506651047521336,0.68948440981275
"ENSG00000179300|RTL3",28.9335513656409,-0.164036864600897,0.475963098594987,-0.344641979777683,0.730363541863893,0.849680559774504
"ENSG00000147145|LPAR4",162.465354700192,0.366857670583744,0.194681228852719,1.88440186424589,0.0595106378699373,0.147087674450901
"ENSG00000102158|MAGT1",8573.93968693165,-0.0598214694700987,0.0378327458620721,-1.58120876788038,0.113830311267475,0.243265638567316
"ENSG00000165240|ATP7A",1850.83449953163,-0.0204511272476871,0.0743596621202576,-0.275029857110064,0.783293299845636,0.88365685803344
"ENSG00000293258",18.4746162654422,-0.370143843771396,0.544848345826925,-0.679352055680049,0.496914820427009,0.681839966085557
"ENSG00000102144|PGK1",11651.1011109626,-0.267417271304442,0.0404210197443414,-6.61579725093102,3.69554586805966e-11,9.10055439385932e-10
"ENSG00000131174|COX7B",1720.77104226353,0.0804870068548879,0.0622470495030361,1.29302525175851,0.196002325622463,0.365084524721676
"ENSG00000226784|PGAM4",220.302604282513,-0.146588509848015,0.140532546226806,-1.04309296162211,0.296905240168981,0.490289723651698
"ENSG00000187325|TAF9B",1642.84147328577,-0.0690098199801436,0.0618955829804002,-1.11493933261758,0.264876420156492,0.452480947716963
"ENSG00000073905|VDAC1P1",6.94839337685288,0.274441548257379,0.735059650764397,0.373359560645158,0.708880852898668,0.836807589879777
"ENSG00000165288|BRWD3",1060.14931440885,0.124168711675574,0.0882304939271023,1.4073219603436,0.159331940352985,0.312867074428234
"ENSG00000289132",31.8252696831442,0.569919906179192,0.336683698482493,1.6927457692426,0.0905038692351815,0.203770477602269
"ENSG00000198157|HMGN5",15.010507713732,-0.501878732117852,0.596288380325466,-0.841671158917966,0.399972046196345,0.595624965544877
"ENSG00000131171|SH3BGRL",9771.11918551495,0.332376125068885,0.0560592461342195,5.92901524706728,3.0475679179399e-09,5.38240233974516e-08
"ENSG00000231875",2.88481702533311,0.438242607657496,1.60041089456078,0.273831307414193,0.784214263007832,NA
"ENSG00000072133|RPS6KA6",1363.56583701344,-0.167791737598242,0.0738171775692309,-2.27307170395231,0.0230218592780837,0.0688148381803196
"ENSG00000165259|HDX",208.851601767176,-0.0760546887137313,0.128414038174104,-0.592261483208061,0.553675503790705,0.727606077247135
"ENSG00000147180|ZNF711",36.4703708926535,-0.214126397075943,0.319487206625272,-0.670219002938334,0.502718191694003,0.686416342128405
"ENSG00000155008|APOOL",826.327072526355,-0.0652978637645307,0.0976755272597904,-0.668518160038759,0.503802893789951,0.687447387064687
"ENSG00000188419|CHM",2687.49503768829,0.0150521069532904,0.0649967301577549,0.23158252602488,0.816862280802744,0.902729334162532
"ENSG00000237506|RPSAP15",68.1518268394997,-0.119376289637242,0.230364316378662,-0.518206515287795,0.604314189489922,0.766091923413642
"ENSG00000234161|PABPC5-AS1",1.50351116270779,1.42014631407666,2.6125543982062,0.543585356558218,0.58672683879391,NA
"ENSG00000174740|PABPC5",133.529533395561,0.520214212117118,0.227432619879228,2.28733333148677,0.0221763743904339,0.0668094513469819
"ENSG00000186310|NAP1L3",696.663604061392,0.0966768396476584,0.107444399100689,0.899784823190827,0.36823477253146,0.565821352303225
"ENSG00000179083|FAM133A",20.6264557110243,-0.0397127915114672,0.621556938978562,-0.063892443348359,0.949055869320759,0.974711079929706
"ENSG00000229132|EIF4A1P10",7.15785196075803,1.83418084037194,0.834210574079269,2.19870245878429,0.0278990860149682,0.080253638960172
"ENSG00000236256|DIAPH2-AS1",4.22630366111813,-0.342800542305427,0.87452666520459,-0.391984093732843,0.695069966619217,0.828160023063157
"ENSG00000147202|DIAPH2",4432.55448828452,0.153569962409355,0.0573321089685538,2.67860305808019,0.0073929977563311,0.0268272698680505
"ENSG00000204086|RPA4",11.0704377005138,-1.01257059038971,0.689442761386365,-1.46867970352402,0.141919685088791,0.287561763316689
"ENSG00000165194|PCDH19",26.3606359719367,0.0967614214694445,0.404207374035655,0.239385591864312,0.810806601297705,0.899324865188382
"ENSG00000000003|TSPAN6",1434.87306218919,0.717066458174916,0.0760103222622572,9.43380368393694,3.95481290465222e-21,3.61795998093141e-19
"ENSG00000101811|CSTF2",480.728200417702,-0.379171654879836,0.147659156116948,-2.56788447700139,0.0102321249323819,0.0353874418570092
"ENSG00000182489|XKRX",2.33963334676732,0.381929503066994,2.31967714083778,0.164647698743566,0.869221285353457,NA
"ENSG00000102359|SRPX2",676.510430908255,0.296104360553084,0.091672074416463,3.23003883612247,0.00123773403992529,0.00570281789369598
"ENSG00000102362|SYTL4",205.166872905224,-0.630228616340705,0.195360643514213,-3.22597532954407,0.00125544177995901,0.00577038445270714
"ENSG00000188917|TRMT2B",740.06505703663,-0.42711977152227,0.132138617105573,-3.23236144647268,0.00122771656985391,0.00566542305619755
"ENSG00000126950|TMEM35A",149.949371809917,1.16874580946076,0.263927678267166,4.42828056964027,9.4987288407879e-06,7.94086116878373e-05
"ENSG00000102385|DRP2",140.119724344096,-0.196343691213254,0.250748947721184,-0.78302897379085,0.433610097912718,0.625425321368791
"ENSG00000102387|TAF7L",26.212714702996,0.127654625639891,0.536125868499499,0.238105700807106,0.81179911327759,0.899965422195274
"ENSG00000102384|CENPI",1506.5570274354,-1.47811031155142,0.317731611038979,-4.65207193806754,3.2861639092014e-06,3.05721707484937e-05
"ENSG00000126953|TIMM8A",133.461414429427,-0.278442835870011,0.207095653136034,-1.34451318341825,0.178782496211513,0.340769926526523
"ENSG00000196440|ARMCX4",356.659113293099,0.136553710523259,0.175508274343614,0.778047137856939,0.436541224645354,0.628455558200518
"ENSG00000237682|PRKCIP1",1.48083676325412,0.240111978119101,2.64990535200398,0.0906115299316321,0.927801270063225,NA
"ENSG00000126947|ARMCX1",2159.44579441613,0.382855704774099,0.0711182407876661,5.38336860605384,7.3104616900163e-08,9.85023319963566e-07
"ENSG00000204072|ARMCX7P",147.93441695041,0.0696478334893427,0.192210173549172,0.362352482198477,0.717088643832346,0.841038851386363
"ENSG00000290908",412.433297279694,0.145310327383245,0.1188421829044,1.22271674780777,0.221436699093854,0.39854367842389
"ENSG00000102393|GLA",603.858267623467,-0.165910334176612,0.0918881479155977,-1.80556837786094,0.0709857858130757,0.168885767136892
"ENSG00000241343|RPL36A",5185.58506561024,0.27460228524734,0.0472036427207599,5.817396061397,5.97714043465122e-09,9.93395977577332e-08
"ENSG00000257529|RPL36A-HNRNPH2",30.8157931081244,-1.24055424288037,0.698492507148518,-1.77604516896642,NA,NA
"ENSG00000126945|HNRNPH2",4044.18751627638,0.101426217180384,0.0510524696253922,1.98670540180757,0.0469550528652146,0.122042896628714
"ENSG00000198960|ARMCX6",1445.20813798759,0.155710740823401,0.0796180780877833,1.95572091870544,0.0504980391065172,0.129206096624599
"ENSG00000102401|ARMCX3",5045.66056206647,0.358906145246244,0.0591657549812392,6.06611282759849,1.31043089038753e-09,2.49844309979004e-08
"ENSG00000261101",13.9456489942862,0.613097555578615,0.490096632290809,1.25097279839054,0.210944401888975,0.384772919510296
"ENSG00000178146|GK4P",8.89858619026397,-1.33733124682141,0.603951244731098,-2.21430332081994,0.0268079203425215,0.0776934281651122
"ENSG00000166432|ZMAT1",96.1645061481527,0.155596453128719,0.215952109072273,0.720513699991906,0.471208767676647,0.659205887042325
"ENSG00000184867|ARMCX2",5247.04900230519,0.286450695213916,0.0501108326658197,5.71634275415467,1.08841092884703e-08,1.72115808596598e-07
"ENSG00000184905|TCEAL2",10.9296801168031,0.270678173920727,0.52416637155775,0.516397442888809,0.605576851382715,0.766963505139393
"ENSG00000158164|TMSB15A",15.7549026589545,-0.852376793117694,0.599323267119355,-1.42223210724763,0.154958880852199,0.306653921898972
"ENSG00000271147|ARMCX5-GPRASP2",245.134185816557,0.154044704249056,0.14058744328132,1.09572164237176,0.27320060852719,0.462796905113306
