"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000173662|TAS1R1";11;8;0;8;19;0;11;24
"ENSG00000253022|RNU6-731P";0;0;0;0;0;0;0;0
"ENSG00000229519";0;0;0;0;0;0;0;0
"ENSG00000162408|NOL9";2949;2625;2645;2098;2248;2102;1850;2233
"ENSG00000204859|ZBTB48";442;523;436;427;454;490;303;443
"ENSG00000187017|ESPN";0;0;0;7;0;0;0;0
"ENSG00000265392|MIR4252";0;0;0;0;0;0;0;0
"ENSG00000231868";0;0;0;0;0;0;0;0
"ENSG00000215788|TNFRSF25";240;259;219;301;383;320;186;257
"ENSG00000171680|PLEKHG5";930;1060;964;648;1107;1102;928;1092
"ENSG00000116254|CHD5";36;26;11;16;17;34;11;0
"ENSG00000158286|RNF207";301;375;286;257;357;376;240;315
"ENSG00000225077|ICMT-DT";34;9;9;29;10;6;0;8
"ENSG00000285629";0;0;17;0;7;1;1;0
"ENSG00000116251|RPL22";9560;9823;8567;7645;10509;11087;9483;12140
"ENSG00000226944|RNF207-AS1";13;4;10;7;13;11;5;4
"ENSG00000116237|ICMT";15068;11625;11427;10480;8907;8733;8482;9683
"ENSG00000162413|KLHL21";2248;2889;2394;2218;2630;2978;2451;3123
"ENSG00000116273|PHF13";1061;1087;930;785;712;981;755;1004
"ENSG00000237436|CAMTA1-DT";6;5;0;5;6;0;4;10
"ENSG00000041988|THAP3";713;758;586;442;747;714;762;783
"ENSG00000007923|DNAJC11";2060;2023;1622;1305;1417;1390;1289;1612
"ENSG00000228750|LINC01672";0;0;0;0;0;0;0;0
"ENSG00000049245|VAMP3";11512;10716;9632;9109;9852;9490;8957;10273
"ENSG00000269925";48;33;30;30;35;17;16;26
"ENSG00000171735|CAMTA1";695;713;544;546;645;674;649;740
"ENSG00000227950";0;0;0;0;0;0;0;0
"ENSG00000237365|CAMTA1-AS3";0;0;0;0;0;0;0;0
"ENSG00000207056|RNU1-8P";0;0;0;0;0;0;0;0
"ENSG00000237402|CAMTA1-IT1";0;0;0;0;0;0;0;0
"ENSG00000237728|CAMTA1-AS2";0;0;0;0;0;0;0;0
"ENSG00000225126|CAMTA1-AS1";0;0;0;0;0;0;0;0
"ENSG00000270171";0;0;0;0;0;0;0;0
"ENSG00000270035";0;0;0;0;0;0;0;0
"ENSG00000269978";0;0;2;0;0;2;0;0
"ENSG00000049246|PER3";2689;2464;2243;2357;3166;3243;3030;3414
"ENSG00000236266";0;0;0;0;0;0;0;0
"ENSG00000049247|UTS2";0;0;0;0;0;0;0;0
"ENSG00000200344|Y_RNA";0;0;0;0;0;0;0;0
"ENSG00000116288|PARK7";4858;4881;4207;3676;4339;4568;3849;4935
"ENSG00000162426|SLC45A1";72;119;111;53;90;105;83;105
"ENSG00000252254|Y_RNA";0;3;0;0;0;0;0;0
"ENSG00000284716";0;0;5;0;13;0;0;0
"ENSG00000284747";30;22;17;19;7;10;40;25
"ENSG00000116285|ERRFI1";5366;5947;5160;4673;5430;5845;5899;6227
"ENSG00000238290|ERRFI1-DT";0;0;3;0;2;0;0;0
"ENSG00000232848|RPL7AP18";0;0;0;0;0;0;0;0
"ENSG00000142599|RERE";600;578;598;619;616;631;521;763
